sample
0
98
-58
-193
-304
-377
-385
-347
-288
-230
-171
-134
-96
-50
34
123
239
349
406
430
367
218
44
-125
-256
-293
-238
-98
63
216
316
312
239
98
-80
-243
-352
-388
-374
-314
-256
-188
-136
-98
-80
-35
34
123
239
349
429
410
335
209
44
-125
-256
-299
-261
-155
15
181
305
371
335
203
32
-158
-288
-367
-362
-271
-128
48
214
310
335
258
123
-41
-208
-339
-397
-341
-256
-85
101
248
335
340
270
134
-48
-218
-340
-379
-336
-205
-23
135
303
393
395
290
127
-56
-227
-339
-352
-256
-103
92
271
402
439
373
271
104
-47
-155
-192
-170
-102
-13
31
42
-1
-102
-224
-323
-385
-383
-320
-174
-1
181
335
432
462
400
271
107
-58
-220
-336
-382
-374
-323
-240
-124
-12
70
127
171
203
223
255
291
315
312
271
188
55
-79
-224
-330
-363
-314
-192
-21
146
266
303
239
77
-109
-304
-434
-487
-428
-272
-94
67
174
207
156
67
-45
-96
-99
-12
123
287
417
485
453
367
193
21
-125
-192
-189
-125
-13
63
87
44
-72
-224
-360
-453
-456
-352
-174
33
218
335
359
293
134
-80
-262
-385
-409
-336
-168
45
229
351
408
372
259
127
26
-46
-37
31
130
225
256
239
140
-12
-181
-320
-419
-430
-377
-256
-122
-1
85
127
124
90
41
0
-9
0
